areacode,cat1,cat2,cat3,contentid,contenttypeid,mapx,mapy,readcount,title,addr1,code
33,A05,A0502,A05020100,2668345,39,128.1973287,37.13665686,0,대림갈비,충청북도 제천시 용두대로7안길 16-9,33030
33,A05,A0502,A05020100,2668346,39,128.254407,37.13054197,0,시골순두부,충청북도 제천시 중말8길 22,33030
8,B02,B0201,B02011600,2668426,32,127.1899356,36.55105585,0,학림재,세종특별자치시 장군면 태산길 75-3,29010
31,B02,B0201,B02011600,2668524,32,127.462314,37.34082806,0,이천백사 산수유영농조합법인(이천산수유마을),경기도 이천시 백사면 원적로775번길 17,31210
2,A02,A0202,A02020700,2668545,12,126.6550507,37.46230227,0,주인근린공원,인천광역시 미추홀구 숭의동 33-18,23090
34,B02,B0201,B02010500,2668701,32,126.3370668,36.48898429,0,아일랜드 리솜,충청남도 태안군 안면읍 꽃지해안로 204,34380
6,A02,A0205,A02050200,2668973,12,129.1680433,35.16138257,0,부산엑스더스카이,부산광역시 해운대구 달맞이길 30,21090
38,A05,A0502,A05020100,2669144,39,126.4251193,34.74734505,0,더자반,전라남도 영암군 삼호읍 난전로 83,36410
1,B02,B0201,B02011100,2669154,32,126.9886367,37.56878472,0,클로이 호스텔(종로 호스텔 클로이),서울특별시 종로구 종로16길 32-4,11010
1,B02,B0201,B02011100,2669165,32,126.9255954,37.56178718,0,미로 게스트하우스,서울특별시 마포구 동교로38길 27,11140
32,A01,A0101,A01010500,2669251,12,128.461873,37.18382585,0,영월동강생태공원,강원도 영월군 영월읍 하송로 64,32330
6,A02,A0205,A02050200,2669544,12,129.0322897,35.11468529,0,역사의 디오라마,부산광역시 중구 영주로 93,21010
37,B02,B0201,B02011600,2669732,32,127.1519504,35.81135914,0,별빛쉼터,전라북도 전주시 완산구 향교길 42-9,35010
1,A05,A0502,A05020100,2669900,39,126.9897366,37.56884585,0,종로유가네육회빈대떡,서울특별시 종로구 수표로 86,11010
37,A02,A0202,A02020700,2669909,12,127.0328299,35.83354622,0,설화공원,전라북도 완주군 이서면 농생명로 100,35310
1,A05,A0502,A05020100,2669957,39,126.9860067,37.55931355,0,남산생고기집,서울특별시 중구 퇴계로20길 21,11020
1,A05,A0502,A05020100,2669958,39,126.985815,37.55987737,0,명동뚱뚱이족발,서울특별시 중구 퇴계로20길 9,11020
1,A05,A0502,A05020900,2669960,39,126.9858872,37.55906914,0,더버스스탑,서울특별시 중구 퇴계로20길 26-1,11020
36,A03,A0302,A03022700,2669961,28,127.7054469,35.23874196,0,회남재 숲길,경상남도 하동군 청암면 삼성궁길 2,38360
1,A05,A0502,A05020400,2669964,39,126.9844345,37.56060226,0,정통중화요리조아루 명동,서울특별시 중구 퇴계로 114-2,11020
36,A02,A0201,A02010700,2669992,12,127.9350924,35.27664729,0,산청 이사재,경상남도 산청군 단성면 상동길 77,38370
32,A05,A0502,A05020900,2670028,39,128.5561486,38.16609454,0,YAT(와이에이티),강원도 속초시 설악산로 470-4,32060
1,A05,A0502,A05020500,2670079,39,126.9705964,37.57911098,0,알로이막막,서울특별시 종로구 자하문로7길 30,11010
6,B02,B0201,B02010400,2670175,32,129.1245417,35.15401037,0,브라운도트 민락점,부산광역시 수영구 광안해변로278번길 42,21140
6,A05,A0502,A05020100,2670210,39,129.2005788,35.17997831,0,서프홀릭,부산광역시 해운대구 송정해변로 50,21090
4,A02,A0201,A02010700,2670222,12,128.5671802,35.92941274,0,구암동 고분군,대구광역시 북구 구암동,22050
38,A05,A0502,A05020100,2670270,39,126.4166407,34.81312362,0,강남가든,전라남도 목포시 상리로15번길 1-1,36010
38,A05,A0502,A05020100,2670280,39,126.4262539,34.80479693,0,갯내음,전라남도 목포시 신흥로59번길 11,36010
38,A05,A0502,A05020100,2670290,39,127.4939925,34.94559072,0,건봉국밥,전라남도 순천시 장평로 65,36030
38,A05,A0502,A05020100,2670320,39,127.7209198,34.72634979,0,군산횟집,전라남도 여수시 국포1로 51,36020
